OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1422,2020-035AR,2026-05-16T14:20:09.526272,15.33090684,.0003523,53.1568,93.7194,78.9529,281.1869,0,U,45696,999,32937,.99990231E-3,.32184E-3,0
STARLINK-1351,2020-035AS,2026-05-16T01:22:45.617952,15.64002625,.00062149,53.0447,54.2531,76.0121,284.1584,0,U,45697,999,32987,.10439133E-2,.101179E-2,0
STARLINK-1400,2020-035AV,2026-05-16T11:49:51.966912,15.61566724,.0005115,53.0444,54.3869,37.6999,322.4372,0,U,45700,999,32990,.63508801E-3,.55408E-3,0
STARLINK-1403,2020-035AW,2026-05-16T06:27:17.662752,15.32070056,.00029964,53.1551,82.6328,89.9026,270.2319,0,U,45701,999,32949,.11625845E-2,.3631E-3,0
STARLINK-1407,2020-035AY,2026-05-16T06:54:31.565376,15.70272896,.00028041,53.0293,343.4330,359.8656,0.2359,0,U,45703,999,33088,.476194E-3,.58897E-3,0
STARLINK-1411,2020-035BB,2026-05-16T08:15:42.318720,15.80104691,.00017996,53.0353,6.6650,176.1905,183.9130,0,U,45706,999,33055,.11359856E-2,.221431E-2,0
STARLINK-1423,2020-035BF,2026-05-16T11:40:36.344928,15.66632539,.00074908,53.0445,51.5751,39.9824,320.1741,0,U,45710,999,32993,.46950416E-3,.49956E-3,0
STARLINK-1433,2020-035BG,2026-05-16T14:14:46.042080,15.66245277,.0007547,53.0448,49.5798,45.6608,314.5024,0,U,45711,999,32997,.4377482E-3,.45789E-3,0
STARLINK-1434,2020-035BH,2026-05-16T12:17:05.823744,15.32498240,.00038724,53.0510,64.3958,45.1290,315.0024,0,U,45712,999,32977,.63721056E-3,.19963E-3,0
STARLINK-1465,2020-038B,2026-05-16T15:00:15.951168,15.60536532,.00013175,53.0450,254.4876,271.2000,88.8861,0,U,45731,999,32695,.50813627E-3,.42403E-3,0
STARLINK-1471,2020-038F,2026-05-16T13:47:11.563296,15.52375765,.00029154,53.0435,175.8797,60.5528,299.5771,0,U,45735,999,32806,.33910611E-3,.20628E-3,0
STARLINK-1480,2020-038M,2026-05-16T14:31:30.390240,15.62121689,.00051008,53.0490,248.2283,316.9209,43.1404,0,U,45741,999,32705,.53685945E-3,.47735E-3,0
STARLINK-1500,2020-038Q,2026-05-15T23:55:16.059360,15.38130343,.00023297,53.0361,236.1588,95.5332,264.5936,0,U,45744,999,32716,.44648675E-3,.16655E-3,0
STARLINK-1504,2020-038S,2026-05-16T08:15:05.020704,15.57535586,.00033572,53.0194,174.6532,37.6197,322.5049,0,U,45746,999,32804,.3613056E-3,.26689E-3,0
STARLINK-1506,2020-038T,2026-05-16T14:13:24.032064,15.27919688,.00036657,53.0746,247.8219,108.6400,251.4997,0,U,45747,999,32706,.22887153E-3,.5974E-4,0
STARLINK-1464,2020-038X,2026-05-16T06:53:27.182688,15.52525123,.00024926,53.0461,241.1547,329.7629,30.3236,0,U,45751,999,32712,.10078476E-2,.62904E-3,0
STARLINK-1477,2020-038AA,2026-05-16T01:41:02.186880,15.17853679,.00012185,53.0478,265.8728,173.6751,186.4258,0,U,45754,999,32675,.11437516E-2,.23202E-3,0
STARLINK-1478,2020-038AB,2026-05-16T10:30:34.690464,15.65816730,.00030406,53.0459,227.4093,354.5933,5.5048,0,U,45755,999,32731,.46742508E-3,.4805E-3,0
STARLINK-1493,2020-038AF,2026-05-16T14:22:04.204128,15.61504482,.00056944,53.0479,235.6894,308.0370,52.0128,0,U,45759,999,32721,.66632956E-3,.58046E-3,0
STARLINK-1494,2020-038AG,2026-05-16T16:00:01.999584,15.93605876,.00074473,53.0396,169.1834,5.2558,158.6296,0,U,45760,999,603,.66021323E-3,.241431E-2,.33404376E-4
