OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1284,2020-019AG,2026-05-16T12:13:39.119520,15.67378688,.00050015,53.0393,161.1653,337.9434,22.1366,0,U,45390,999,34080,.39984433E-3,.43708E-3,0
STARLINK-1297,2020-019AM,2026-05-16T15:05:38.216256,15.65834368,.000676,53.0404,159.3467,346.6351,13.4484,0,U,45395,999,34002,.40059189E-3,.41128E-3,0
STARLINK-1307,2020-019AP,2026-05-16T07:55:37.205472,15.55052677,.0002303,53.0515,164.8580,32.9820,327.1334,0,U,45397,999,34056,.43735542E-3,.29539E-3,0
STARLINK-1255,2020-019AR,2026-05-16T10:19:41.579040,15.62705830,.00065164,53.0338,133.6931,34.0899,326.0532,0,U,45399,999,34099,.69554691E-3,.63587E-3,0
STARLINK-1260,2020-019AW,2026-05-16T13:52:48.271872,15.35668453,.00056912,53.1546,172.6866,9.1305,350.9800,0,U,45404,999,34038,.74456181E-3,.25914E-3,0
STARLINK-1263,2020-019AX,2026-05-16T13:48:32.607360,15.33156517,.00041813,53.1561,173.5356,28.4747,331.6483,0,U,45405,999,34037,.65286959E-3,.20898E-3,0
STARLINK-1265,2020-019AY,2026-05-16T13:49:48.120096,15.36004524,.00053615,53.1553,172.7432,2.0861,358.0164,0,U,45406,999,34038,.58325516E-3,.20422E-3,0
STARLINK-1278,2020-019BA,2026-05-16T08:22:37.837920,15.66607512,.00069002,53.0387,159.8065,6.5243,353.5861,0,U,45408,999,34053,.46281316E-3,.49171E-3,0
STARLINK-1296,2020-019BE,2026-05-16T13:17:38.065920,15.36206659,.00062956,53.1552,172.5748,0.6429,359.4581,0,U,45412,999,34038,.69553495E-3,.24606E-3,0
STARLINK-1309,2020-019BG,2026-05-16T11:38:14.730144,15.65937076,.00066494,53.0596,152.8870,345.2928,14.7893,0,U,45414,999,34062,.39469731E-3,.40679E-3,0
STARLINK-1316,2020-019BH,2026-05-16T07:58:42.697632,15.36482938,.00063992,53.1552,173.5966,1.5373,358.5649,0,U,45415,999,34037,.99597314E-3,.35774E-3,0
STARLINK-1286,2020-019BK,2026-05-16T08:14:42.147168,15.56338665,.00037178,53.0448,164.2852,348.8006,11.2921,0,U,45417,999,34074,.5797579E-3,.41309E-3,0
STARLINK-1308,2020-019BM,2026-05-16T08:12:30.268800,15.62904348,.00077147,53.0462,184.1112,329.0519,31.0039,0,U,45419,999,34021,.93651147E-3,.86754E-3,0
STARLINK-1329,2020-025A,2026-05-16T04:20:56.033376,15.70224007,.00053806,53.0419,109.8107,57.2193,302.9341,0,U,45531,999,33602,.42886616E-3,.52863E-3,0
STARLINK-1338,2020-025B,2026-05-16T04:44:54.784320,15.65533423,.00027463,53.0430,115.5336,64.0123,296.1175,0,U,45532,999,33594,.16683942E-3,.16531E-3,0
STARLINK-1350,2020-025E,2026-05-16T13:09:32.896224,15.37700517,.00016972,53.0727,74.0379,66.0653,294.0527,0,U,45535,999,33659,.25924076E-3,.936E-4,0
STARLINK-1362,2020-025H,2026-05-16T05:24:42.577056,15.34719800,.00036998,53.1566,146.2518,66.9483,293.1909,0,U,45538,999,33553,-.54814827E-2,-.183065E-2,0
STARLINK-1368,2020-025K,2026-05-16T07:18:25.909920,15.35259566,.00042837,53.1556,146.2577,42.1741,317.9591,0,U,45540,999,33553,.95621349E-3,.32977E-3,0
STARLINK-1371,2020-025M,2026-05-16T06:21:34.456032,15.58108868,.000692,53.0444,123.7910,38.6099,321.5406,0,U,45542,999,33583,.99455747E-3,.765E-3,0
STARLINK-1372,2020-025N,2026-05-16T08:03:27.651744,15.35803701,.00042641,53.1565,145.6929,34.6599,325.4681,0,U,45543,999,33464,.11600982E-2,.40841E-3,0
STARLINK-1373,2020-025P,2026-05-16T08:52:23.943648,15.67246210,.00043447,53.0444,120.2263,15.6412,344.4737,0,U,45544,999,33589,.48068824E-3,.52425E-3,0
STARLINK-1327,2020-025AA,2026-05-16T04:27:42.249888,15.64957945,.00053124,53.0413,97.9023,19.9196,340.2025,0,U,45555,999,33618,.44960103E-3,.44626E-3,0
STARLINK-1356,2020-025AK,2026-05-16T14:58:17.451840,15.54819986,.00038653,53.0450,107.8251,26.0782,334.0422,0,U,45564,999,33608,.7156541E-3,.4835E-3,0
